id,farm,sample,item,antibiotic,inhibition,sensitivity,microbe
4,Chileka2 ,Soil,Farm soil ,GM,7,R,Klebsiella pneumoniae
4,Chileka2 ,Soil,Home soil,SXT,6,R,Klebsiella pneumoniae
4,Chileka2 ,Soil,Home soil,CIP,24,I,Klebsiella pneumoniae
4,Chileka2 ,Soil,Home soil,TGC,24,S,Klebsiella pneumoniae
4,Chileka2 ,Soil,Home soil,CTX,26,S,Klebsiella pneumoniae
4,Chileka2 ,Soil,Home soil,AMP,6,R,Klebsiella pneumoniae
4,Chileka2 ,Soil,Home soil,GM,7,R,Klebsiella pneumoniae
4,Chileka2 ,Soil,Home soil,ATM,0,R,Stenotrophomonas maltophilia
4,Chileka2 ,Soil,Home soil,SXT,0,R,Stenotrophomonas maltophilia
4,Chileka2 ,Soil,Home soil,GM,26,S,Stenotrophomonas maltophilia
4,Chileka2 ,Soil,Home soil,TGC,7,R,Stenotrophomonas maltophilia
4,Chileka2 ,Soil,Home soil,CRO,18,S,Stenotrophomonas maltophilia
4,Chileka2 ,Soil,Home soil,CIP,29,S,Stenotrophomonas maltophilia
4,Chileka2 ,Manure,Pig manure,SXT,7,R,Klebsiella pneumoniae
4,Chileka2 ,Manure,Pig manure,CIP,25,S,Klebsiella pneumoniae
4,Chileka2 ,Manure,Pig manure,TGC,17,R,Klebsiella pneumoniae
4,Chileka2 ,Manure,Pig manure,CTX,28,S,Klebsiella pneumoniae
4,Chileka2 ,Manure,Pig manure,AMP,6,R,Klebsiella pneumoniae
4,Chileka2 ,Manure,Pig manure,GM,7,R,Klebsiella pneumoniae
4,Chileka2 ,Manure,Pig manure,ATM,21,S,E. coli
4,Chileka2 ,Manure,Pig manure,SXT,0,R,E. coli
4,Chileka2 ,Manure,Pig manure,GM,20,S,E. coli
4,Chileka2 ,Manure,Pig manure,VAN,0,R,E. coli
4,Chileka2 ,Manure,Pig manure,CRO,0,R,E. coli
4,Chileka2 ,Manure,Pig manure,CIP,23,S,E. coli
4,Chileka2 ,Vegetable,Rape,SXT,6,R,Klebsiella pneumoniae
4,Chileka2 ,Vegetable,Rape,CIP,22,R,Klebsiella pneumoniae
4,Chileka2 ,Vegetable,Rape,TGC,18,S,Klebsiella pneumoniae
4,Chileka2 ,Vegetable,Rape,CTX,23,S,Klebsiella pneumoniae
4,Chileka2 ,Vegetable,Rape,AMP,6,R,Klebsiella pneumoniae
4,Chileka2 ,Vegetable,Rape,GM,7,R,Klebsiella pneumoniae
4,Chileka2 ,Vegetable,Rape,ATM,30,S,Pseudomonas aeruginosa
4,Chileka2 ,Vegetable,Rape,CTX,18,R,Pseudomonas aeruginosa
